-- ================================================================
--  INSTAGRAM AFFILIATE MARKETING — SAMPLE DATA
--  500 rows per table  ·  5 tables  ·  2,500 total rows
--  Compatible with MySQL 8+ / PostgreSQL 14+
--  Generated for GitHub portfolio project
-- ================================================================

SET FOREIGN_KEY_CHECKS = 0;  -- MySQL: disable FK checks during load

-- ================================================================
-- SCHEMA (create tables if not exist)
-- ================================================================

CREATE TABLE IF NOT EXISTS affiliate_products (
    product_id      INT PRIMARY KEY,
    product_name    VARCHAR(150),
    brand           VARCHAR(80),
    category        VARCHAR(60),
    price           DECIMAL(10,2),
    commission_rate DECIMAL(5,2)
);

CREATE TABLE IF NOT EXISTS posts (
    post_id             INT PRIMARY KEY,
    post_date           DATETIME,
    caption             TEXT,
    media_type          VARCHAR(20),
    affiliate_product_id INT,
    hashtags            TEXT
);

CREATE TABLE IF NOT EXISTS post_insights (
    insight_id   INT PRIMARY KEY,
    post_id      INT,
    views        BIGINT,
    comments     INT,
    likes        INT,
    saves        INT,
    reach        INT,
    recorded_at  DATE
);

CREATE TABLE IF NOT EXISTS link_clicks (
    click_id     INT PRIMARY KEY,
    post_id      INT,
    click_source VARCHAR(30),
    device_type  VARCHAR(20),
    clicked_at   DATETIME,
    session_id   VARCHAR(60)
);

CREATE TABLE IF NOT EXISTS conversions (
    conversion_id INT PRIMARY KEY,
    click_id      INT,
    post_id       INT,
    sale_amount   DECIMAL(10,2),
    commission    DECIMAL(10,2),
    converted_at  DATETIME,
    status        VARCHAR(20)
);

-- ================================================================
-- DATA INSERTS
-- ================================================================

-- ============================================================
-- TABLE: affiliate_products  (500 rows)
-- ============================================================
INSERT INTO affiliate_products
  (product_id, product_name, brand, category, price, commission_rate)
VALUES
  (1, 'Noise ColorFit Vitamin C Serum', 'Noise ColorFit', 'Skincare', 1446.64, 7.91),
  (2, 'L'Oreal Exfoliator', 'L'Oreal', 'Skincare', 2992.41, 3.7),
  (3, 'Re'equil Face Wash', 'Re'equil', 'Skincare', 2575.24, 3.58),
  (4, 'Biba Anarkali Suit', 'Biba', 'Fashion', 1179.16, 15.96),
  (5, 'Nothing Mascara', 'Nothing', 'Beauty', 2169.81, 9.11),
  (6, 'Lakme Crop Top', 'Lakme', 'Fashion', 553.45, 5.13),
  (7, 'Cetaphil Shaker Bottle', 'Cetaphil', 'Fitness', 4053.93, 19.05),
  (8, 'Park Avenue Granola', 'Park Avenue', 'Food & Nutrition', 485.12, 9.45),
  (9, 'BoAt Scarf', 'BoAt', 'Accessories', 1041.21, 4.53),
  (10, 'L'Oreal Coord Set', 'L'Oreal', 'Fashion', 4290.06, 22.06),
  (11, 'FabIndia Ashwagandha', 'FabIndia', 'Wellness', 3213.85, 11.03),
  (12, 'Pilgrim Jump Rope', 'Pilgrim', 'Fitness', 3382.86, 18.44),
  (13, 'OnePlus Face Oil', 'OnePlus', 'Skincare', 937.58, 19.04),
  (14, 'Park Avenue Scalp Tonic', 'Park Avenue', 'Haircare', 1421.74, 23.36),
  (15, 'Redmi Green Tea', 'Redmi', 'Food & Nutrition', 1687.99, 19.9),
  (16, 'WOW Skin Eyeliner', 'WOW Skin', 'Beauty', 4043.72, 11.83),
  (17, 'BoAt Face Wash', 'BoAt', 'Skincare', 4393.2, 9.92),
  (18, 'Samsung Table Lamp', 'Samsung', 'Home Decor', 2347.37, 8.83),
  (19, 'Jockey Anarkali Suit', 'Jockey', 'Fashion', 1386.43, 15.86),
  (20, 'Ustraa Hair Clips', 'Ustraa', 'Accessories', 1173.67, 24.95),
  (21, 'L'Oreal Trail Mix', 'L'Oreal', 'Food & Nutrition', 3802.33, 21.94),
  (22, 'Redmi Conditioner', 'Redmi', 'Haircare', 2167.58, 4.4),
  (23, 'FabIndia Magnesium', 'FabIndia', 'Wellness', 2691.66, 24.36),
  (24, 'Redmi Foundation', 'Redmi', 'Beauty', 4434.46, 19.52),
  (25, 'Garnier Yoga Mat', 'Garnier', 'Fitness', 2229.35, 12.98),
  (26, 'Fire-Boltt Ring Light', 'Fire-Boltt', 'Electronics', 974.39, 23.08),
  (27, 'boAt Rockerz Ring Light', 'boAt Rockerz', 'Electronics', 1073.66, 11.23),
  (28, 'Fastrack Hair Spray', 'Fastrack', 'Haircare', 4618.93, 23.21),
  (29, 'Ajio Scarf', 'Ajio', 'Accessories', 194.44, 23.44),
  (30, 'Plum Power Bank', 'Plum', 'Electronics', 1279.27, 15.48),
  (31, 'Fitbit Sunscreen SPF50', 'Fitbit', 'Skincare', 2480.35, 4.52),
  (32, 'Biotique Nut Butter', 'Biotique', 'Food & Nutrition', 3331.78, 23.83),
  (33, 'Zivame Hair Oil', 'Zivame', 'Haircare', 4373.92, 12.31),
  (34, 'Fire-Boltt Anarkali Suit', 'Fire-Boltt', 'Fashion', 3675.66, 7.43),
  (35, 'MI Laptop Stand', 'MI', 'Electronics', 3283.4, 12.64),
  (36, 'Sugar Trail Mix', 'Sugar', 'Food & Nutrition', 1313.74, 4.41),
  (37, 'Amazon Basics Setting Spray', 'Amazon Basics', 'Beauty', 1226.56, 7.84),
  (38, 'Re'equil Vitamin C Serum', 'Re'equil', 'Skincare', 429.26, 3.69),
  (39, 'Clovia Yoga Mat', 'Clovia', 'Fitness', 1265.22, 17.72),
  (40, 'Biotique Anarkali Suit', 'Biotique', 'Fashion', 3643.43, 22.41),
  (41, 'Nivea Tote Bag', 'Nivea', 'Accessories', 3943.64, 20.76),
  (42, 'Lakme Lehenga', 'Lakme', 'Fashion', 3328.02, 10.79),
  (43, 'Fitbit Turmeric Capsules', 'Fitbit', 'Wellness', 364.44, 17.38),
  (44, 'Libas Vitamin C Serum', 'Libas', 'Skincare', 3667.25, 20.61),
  (45, 'The Derma Co Face Wash', 'The Derma Co', 'Skincare', 1031.02, 12.87),
  (46, 'Neutrogena Omega-3', 'Neutrogena', 'Wellness', 2365.88, 22.24),
  (47, 'Amazon Basics Sheet Mask', 'Amazon Basics', 'Skincare', 578.75, 17.35),
  (48, 'L'Oreal Protein Bar', 'L'Oreal', 'Food & Nutrition', 4638.2, 21.67),
  (49, 'Ajio Leave-in Conditioner', 'Ajio', 'Haircare', 2457.66, 22.02),
  (50, 'Park Avenue Mascara', 'Park Avenue', 'Beauty', 109.56, 11.59),
  (51, 'W Brand Photo Frame', 'W Brand', 'Home Decor', 3512.3, 19.07),
  (52, 'Himalaya Trail Mix', 'Himalaya', 'Food & Nutrition', 1029.5, 7.79),
  (53, 'Noise ColorFit Setting Spray', 'Noise ColorFit', 'Beauty', 2755.76, 19.46),
  (54, 'Noise Lipstick', 'Noise', 'Beauty', 2435.26, 23.23),
  (55, 'Plum Nut Butter', 'Plum', 'Food & Nutrition', 4806.82, 4.76),
  (56, 'boAt Rockerz Shampoo', 'boAt Rockerz', 'Haircare', 432.01, 21.96),
  (57, 'BoAt Collagen Supplement', 'BoAt', 'Wellness', 1305.46, 16.08),
  (58, 'Biba Sunglasses', 'Biba', 'Accessories', 3320.13, 15.43),
  (59, 'Pilgrim Water Bottle', 'Pilgrim', 'Fitness', 3380.66, 9.91),
  (60, 'Biotique Laptop Stand', 'Biotique', 'Electronics', 3390.28, 9.6),
  (61, 'Mamaearth Yoga Mat', 'Mamaearth', 'Fitness', 2344.6, 24.97),
  (62, 'Jockey Sunscreen SPF50', 'Jockey', 'Skincare', 1143.46, 8.83),
  (63, 'Nivea Yoga Mat', 'Nivea', 'Fitness', 1909.68, 6.47),
  (64, 'Realme Herbal Coffee', 'Realme', 'Food & Nutrition', 4919.88, 20.76),
  (65, 'MI Protein Bar', 'MI', 'Food & Nutrition', 4102.81, 9.59),
  (66, 'Cetaphil Moisturizer', 'Cetaphil', 'Skincare', 664.6, 5.35),
  (67, 'Neutrogena Nut Butter', 'Neutrogena', 'Food & Nutrition', 1479.61, 7.63),
  (68, 'Redmi Gym Gloves', 'Redmi', 'Fitness', 3206.77, 8.81),
  (69, 'Plum Photo Frame', 'Plum', 'Home Decor', 551.26, 12.32),
  (70, 'Mamaearth TWS Earbuds', 'Mamaearth', 'Electronics', 1733.43, 5.88),
  (71, 'Noise ColorFit Bluetooth Speaker', 'Noise ColorFit', 'Electronics', 2263.99, 18.52),
  (72, 'Sugar Protein Bar', 'Sugar', 'Food & Nutrition', 467.69, 22.43),
  (73, 'WOW Skin Hair Spray', 'WOW Skin', 'Haircare', 4188.52, 15.82),
  (74, 'Biotique Leave-in Conditioner', 'Biotique', 'Haircare', 303.96, 11.02),
  (75, 'Pilgrim Blush', 'Pilgrim', 'Beauty', 3441.13, 17.67),
  (76, 'Biba Fitness Tracker', 'Biba', 'Fitness', 4870.8, 19.49),
  (77, 'Dot & Key Saree', 'Dot & Key', 'Fashion', 4417.94, 3.55),
  (78, 'MI Dumbbell Set', 'MI', 'Fitness', 4332.91, 20.84),
  (79, 'Nothing Bluetooth Speaker', 'Nothing', 'Electronics', 628.67, 22.19),
  (80, 'The Derma Co Plant Pot', 'The Derma Co', 'Home Decor', 4100.27, 13.13),
  (81, 'Re'equil Power Bank', 'Re'equil', 'Electronics', 214.96, 7.25),
  (82, 'Minimalist Water Bottle', 'Minimalist', 'Fitness', 4836.76, 9.14),
  (83, 'Redmi Muesli', 'Redmi', 'Food & Nutrition', 4906.63, 14.8),
  (84, 'Cetaphil Foundation', 'Cetaphil', 'Beauty', 973.98, 24.18),
  (85, 'Lakme TWS Earbuds', 'Lakme', 'Electronics', 3022.2, 10.61),
  (86, 'boAt Rockerz Dumbbell Set', 'boAt Rockerz', 'Fitness', 4921.76, 5.54),
  (87, 'Cetaphil Watch', 'Cetaphil', 'Accessories', 316.49, 12.59),
  (88, 'Redmi Energy Drink', 'Redmi', 'Food & Nutrition', 3624.21, 19.32),
  (89, 'W Brand Crop Top', 'W Brand', 'Fashion', 441.87, 17.61),
  (90, 'Beardo Shaker Bottle', 'Beardo', 'Fitness', 3349.6, 5.74),
  (91, 'Ponds Ring Light', 'Ponds', 'Electronics', 3366.78, 10.18),
  (92, 'Biotique Ring Light', 'Biotique', 'Electronics', 1039.02, 17.63),
  (93, 'Realme Omega-3', 'Realme', 'Wellness', 2887.62, 11.93),
  (94, 'Garnier Kajal', 'Garnier', 'Beauty', 1128.9, 20.29),
  (95, 'FabIndia Scarf', 'FabIndia', 'Accessories', 2263.75, 17.86),
  (96, 'Noise ColorFit Trail Mix', 'Noise ColorFit', 'Food & Nutrition', 930.49, 4.87),
  (97, 'Man Matters Collagen Water', 'Man Matters', 'Food & Nutrition', 556.6, 23.94),
  (98, 'Re'equil Coord Set', 'Re'equil', 'Fashion', 4051.16, 6.24),
  (99, 'Myntra Eyeliner', 'Myntra', 'Beauty', 3094.24, 19.91),
  (100, 'OnePlus Table Lamp', 'OnePlus', 'Home Decor', 2919.79, 18.8),
  (101, 'Libas Turmeric Capsules', 'Libas', 'Wellness', 1294.52, 17.43),
  (102, 'Fastrack Foundation', 'Fastrack', 'Beauty', 2182.22, 6.87),
  (103, 'Plum Trail Mix', 'Plum', 'Food & Nutrition', 2830.29, 23.18),
  (104, 'Biotique Sheet Mask', 'Biotique', 'Skincare', 4025.94, 17.69),
  (105, 'Beardo Collagen Water', 'Beardo', 'Food & Nutrition', 4754.19, 22.61),
  (106, 'W Brand Wallet', 'W Brand', 'Accessories', 4168.79, 15.05),
  (107, 'Aurelia Scalp Tonic', 'Aurelia', 'Haircare', 1369.04, 8.44),
  (108, 'Ajio Ring Light', 'Ajio', 'Electronics', 3170.07, 9.04),
  (109, 'Nivea Toner', 'Nivea', 'Skincare', 1430.4, 10.03),
  (110, 'Biotique Granola', 'Biotique', 'Food & Nutrition', 838.07, 11.43),
  (111, 'Minimalist Hair Mask', 'Minimalist', 'Haircare', 2131.85, 10.28),
  (112, 'Plum Table Lamp', 'Plum', 'Home Decor', 1112.49, 12.24),
  (113, 'Fire-Boltt Handbag', 'Fire-Boltt', 'Accessories', 2919.88, 13.49),
  (114, 'Fire-Boltt Water Bottle', 'Fire-Boltt', 'Fitness', 2009.93, 22.62),
  (115, 'Noise ColorFit Iron Supplement', 'Noise ColorFit', 'Wellness', 3698.71, 20.6),
  (116, 'Re'equil Maxi Dress', 'Re'equil', 'Fashion', 1436.38, 13.68),
  (117, 'MI Probiotic', 'MI', 'Wellness', 3426.8, 11.89),
  (118, 'Biotique Scalp Tonic', 'Biotique', 'Haircare', 4904.54, 14.75),
  (119, 'BoAt Magnesium', 'BoAt', 'Wellness', 3347.7, 4.85),
  (120, 'FabIndia Omega-3', 'FabIndia', 'Wellness', 989.47, 8.72),
  (121, 'FabIndia Gym Gloves', 'FabIndia', 'Fitness', 1700.54, 19.75),
  (122, 'Fire-Boltt Ashwagandha', 'Fire-Boltt', 'Wellness', 4759.9, 12.27),
  (123, 'Nykaa Sheet Mask', 'Nykaa', 'Skincare', 3769.22, 4.15),
  (124, 'Samsung Gym Gloves', 'Samsung', 'Fitness', 435.23, 24.06),
  (125, 'Nivea Lipstick', 'Nivea', 'Beauty', 1075.87, 3.45),
  (126, 'Biotique Hair Mask', 'Biotique', 'Haircare', 2419.45, 5.52),
  (127, 'Nothing Maxi Dress', 'Nothing', 'Fashion', 1354.59, 11.12),
  (128, 'Noise ColorFit Bracelet', 'Noise ColorFit', 'Accessories', 3618.95, 20.11),
  (129, 'Lakme Hair Oil', 'Lakme', 'Haircare', 2934.56, 23.44),
  (130, 'Libas Hair Clips', 'Libas', 'Accessories', 4712.21, 7.36),
  (131, 'Lakme Watch', 'Lakme', 'Accessories', 3515.25, 9.63),
  (132, 'BoAt Sunglasses', 'BoAt', 'Accessories', 3933.91, 10.64),
  (133, 'Minimalist Probiotic', 'Minimalist', 'Wellness', 2578.21, 10.51),
  (134, 'Lakme Turmeric Capsules', 'Lakme', 'Wellness', 2223.26, 10.97),
  (135, 'W Brand Throw Pillow', 'W Brand', 'Home Decor', 962.07, 14.48),
  (136, 'Jockey USB Hub', 'Jockey', 'Electronics', 3894.74, 13.23),
  (137, 'Beardo Belt', 'Beardo', 'Accessories', 4272.39, 21.28),
  (138, 'Aurelia Toner', 'Aurelia', 'Skincare', 1293.93, 13.22),
  (139, 'Man Matters Hair Clips', 'Man Matters', 'Accessories', 239.63, 21.72),
  (140, 'Pilgrim Scalp Tonic', 'Pilgrim', 'Haircare', 1837.64, 8.68),
  (141, 'Nothing USB Hub', 'Nothing', 'Electronics', 4411.53, 15.23),
  (142, 'L'Oreal Green Tea', 'L'Oreal', 'Food & Nutrition', 1281.64, 11.94),
  (143, 'Nothing Green Tea', 'Nothing', 'Food & Nutrition', 2431.86, 18.66),
  (144, 'L'Oreal Scented Candle', 'L'Oreal', 'Home Decor', 1540.75, 11.9),
  (145, 'MI Coord Set', 'MI', 'Fashion', 2948.62, 13.41),
  (146, 'W Brand Dark Chocolate', 'W Brand', 'Food & Nutrition', 4982.49, 15.11),
  (147, 'Neutrogena Foam Roller', 'Neutrogena', 'Fitness', 1601.45, 8.07),
  (148, 'Sugar Crop Top', 'Sugar', 'Fashion', 3739.12, 23.92),
  (149, 'Pilgrim Hair Mask', 'Pilgrim', 'Haircare', 3718.16, 9.08),
  (150, 'boAt Rockerz Wallet', 'boAt Rockerz', 'Accessories', 1485.69, 5.21),
  (151, 'Re'equil Coord Set', 'Re'equil', 'Fashion', 1867.32, 9.65),
  (152, 'Neutrogena Nut Butter', 'Neutrogena', 'Food & Nutrition', 322.03, 4.2),
  (153, 'OnePlus Bluetooth Speaker', 'OnePlus', 'Electronics', 4354.46, 13.8),
  (154, 'Garnier Setting Spray', 'Garnier', 'Beauty', 2399.05, 12.69),
  (155, 'Cetaphil Hair Serum', 'Cetaphil', 'Haircare', 4710.21, 13.51),
  (156, 'Ajio Night Cream', 'Ajio', 'Skincare', 462.0, 16.85),
  (157, 'Himalaya Mascara', 'Himalaya', 'Beauty', 4073.6, 23.88),
  (158, 'Sugar Face Wash', 'Sugar', 'Skincare', 2833.56, 12.16),
  (159, 'Re'equil Bracelet', 'Re'equil', 'Accessories', 3899.9, 11.37),
  (160, 'Noise Photo Frame', 'Noise', 'Home Decor', 4950.15, 9.72),
  (161, 'Realme Handbag', 'Realme', 'Accessories', 4803.53, 5.18),
  (162, 'Cetaphil Palazzo Set', 'Cetaphil', 'Fashion', 3335.1, 6.46),
  (163, 'Minimalist Hair Spray', 'Minimalist', 'Haircare', 866.01, 11.99),
